Copré 7.19,6.32,8.00,7.17,5.12,5.25,22,38,6.5,,0.33
Nest 6.31,6.40,10.18,7.62,5.65,4.77,32,34,4.6,,0.75
Spida 8.20,7.60,7.40,7.73,5.56,4.69,40,37,6.2,,0.28
Pictet-Index 40plus 10.01,7.70,10.80,9.50,6.52,4.54,40,40,,,
Profond 9.74,11.80,6.84,9.44,5.39,4.42,54,53,3.7,,0.35
Ascaro 9.61,7.29,5.14,7.33,5.62,4.36,22,22,2.6,,0.37
Pictet-Index 25plus 8.00,4.36,9.63,7.31,5.62,4.25,25,25,,,
PKG 7.90,5.75,7.72,7.12,5.14,4.20,31,30,6.2,,0.28
Futura 7.52,6.17,6.98,6.89,4.59,4.09,26,29,3.5,,0.50
Vita 8.09,6.93,7.93,7.65,5.30,3.93,47,37,5.0,,0.88
Alvoso LLB PK 6.70,5.20,8.10,6.66,4.57,3.93,33,35,4.0,,0.64
Groupe Mutuel 7.37,6.88,6.72,6.99,4.48,3.82,33,34,4.9,,0.30
GEMINI Pool 20 6.65,4.48,7.33,6.15,4.76,3.78,21,21,6.7,,0.34
AXA Group Invest 7.37,5.74,7.47,6.86,4.92,3.76,31,28,5.0,,0.56
ASGA 5.80,6.65,7.94,6.79,4.60,3.67,30,28,5.2,,1.14
Transparenta 6.30,4.00,7.82,6.03,4.42,3.64,28,29,6.8,,0.35
N (4)oventusCollect K 7.35,5.35,8.51,7.06,5.38,3.62,31,32,,,0.18
Swisscanto 7.54,4.64,5.95,6.04,4.21,3.62,32,37,6.3,,0.35
PK Profaro 5.00,3.80,5.40,4.73,2.51,3.56,38,39,3.6,,0.76
Abendrot 6.08,5.30,4.53,5.30,3.71,3.47,27,27,(4),,0.39
CoOpera 3.30,2.40,3.10,2.93,2.60,2.87,6,6,4.5,,0.37
PK pro 6.57,6.08,6.81,6.49,3.94,3.15,22,28,4.4,,0.98
Comunitas 5.25,3.47,7.39,5.36,3.50,2.24,43,46,6.2,,0.43
Phoenix 1.22,4.75,5.25,(1),(1),(1),19,22,5.1,,0.53
S (1)w iss Life B u si n ess I nv est 7 43 .,2 22 .,7 07 .,(1),(1),,24,24,11.3,,0.44
